dats	tims	lons	lats	shear	mes		
29/01/2000	12:00	-31	20,177	a	1		
29/01/2000	12:00	-143	25,203	a	1		
29/01/2000	18:00	-32	24,456	a	1		
29/01/2000	18:00	-136	24,44	a	1		
30/01/2000	0:00	104,466	24,466	c	1		
30/01/2000	0:00	13,215	26,215	a	1		
30/01/2000	0:00	-129	25,683	a	1		
30/01/2000	0:00	-149,44	38	a	1		
30/01/2000	6:00	100,251	21,749	c	1		
30/01/2000	6:00	6,474	26,474	a	1		
30/01/2000	6:00	-38	31,453	c	1		
30/01/2000	6:00	-137	33,321	a	1		
30/01/2000	12:00	93,043	23	a	1		
30/01/2000	12:00	9	25,13	a	1		
30/01/2000	12:00	-33	25,855	c	1		
30/01/2000	12:00	-121,627	28,373	a	1		
30/01/2000	18:00	7	22,907	a	1		
30/01/2000	18:00	-113	28,211	a	1		
31/01/2000	0:00	10	21,664	a	1		
31/01/2000	0:00	-76	30,28	a	1		
31/01/2000	0:00	-117	28,864	a	1		
31/01/2000	6:00	9,565	20,565	a	1		
31/01/2000	6:00	-105	28,515	a	1		
31/01/2000	12:00	9	19,507	a	1		
31/01/2000	12:00	-14	27,473	c	1		
31/01/2000	12:00	-34,239	30,761	a	1		
31/01/2000	12:00	-113,931	30,069	a	1		
31/01/2000	12:00	-151,967	37,033	c	1		
31/01/2000	18:00	10,059	19,059	a	1		
31/01/2000	18:00	-10	27,815	c	1		
31/01/2000	18:00	-144,122	37,878	c	1		
01/02/2000	0:00	10	18,201	a	2		
01/02/2000	0:00	-8	27,52	c	2		
01/02/2000	0:00	-61,653	34,347	c	2		
01/02/2000	0:00	-90	27,792	c	2		
01/02/2000	0:00	-120,426	40	a	2		
01/02/2000	0:00	-148,692	35,308	c	2		
01/02/2000	6:00	15	19,541	a	2		
01/02/2000	12:00	16	21,077	a	2		
01/02/2000	12:00	-1,813	26,813	c	2		
01/02/2000	12:00	-145,897	29,103	c	2		
01/02/2000	18:00	17	21,022	a	2		
01/02/2000	18:00	-30,25	26	c	2		
01/02/2000	18:00	-42,224	26,776	a	2		
01/02/2000	18:00	-109	29,007	a	2		
02/02/2000	0:00	21,21	22,21	a	2		
02/02/2000	0:00	2,724	23,724	c	2		
02/02/2000	0:00	-37	24,517	a	2		
02/02/2000	0:00	-110	28,242	a	2		
02/02/2000	6:00	24	24,433	a	2		
02/02/2000	6:00	5	22,343	c	2		
02/02/2000	6:00	-107	26,632	a	2		
02/02/2000	6:00	-140,988	33	a	2		
02/02/2000	12:00	9,37	22,63	c	2		
02/02/2000	12:00	-4,631	28	a	2		
02/02/2000	12:00	-30	20,39	a	2		
02/02/2000	12:00	-107	25,632	a	2		
02/02/2000	18:00	22	25,348	a	2		
02/02/2000	18:00	10,743	23,257	c	2		
02/02/2000	18:00	-2	26,188	a	2		
02/02/2000	18:00	-24,029	23	c	2		
02/02/2000	18:00	-49,171	37,171	c	2		
02/02/2000	18:00	-105,914	25,086	a	2		
02/02/2000	18:00	-133,975	20,025	a	2		
03/02/2000	0:00	14	23,743	c	2		
03/02/2000	0:00	-0,671	24,671	a	2		
03/02/2000	0:00	-26	20,142	c	2		
03/02/2000	0:00	-35,898	29,102	a	2		
03/02/2000	0:00	-106,403	25,403	a	2		
03/02/2000	0:00	-128	24,267	c	2		
03/02/2000	0:00	-150,968	37,968	c	2		
03/02/2000	6:00	18	24,304	c	2		
03/02/2000	6:00	1,907	23,907	a	2		
03/02/2000	6:00	-22	21,657	c	2		
03/02/2000	6:00	-31,843	26,843	a	2		
03/02/2000	6:00	-103	23,964	a	2		
03/02/2000	6:00	-124	27,191	c	2		
03/02/2000	6:00	-145,012	35,012	c	2		
03/02/2000	12:00	22,752	24,752	c	2		
03/02/2000	12:00	4,01	23	a	2		
03/02/2000	12:00	-28	24,409	a	2		
03/02/2000	12:00	-100	23,833	a	2		
03/02/2000	12:00	-121	30,987	c	2		
03/02/2000	12:00	-136,589	35,589	c	2		
03/02/2000	18:00	27,71	25,71	c	2		
03/02/2000	18:00	8,247	22,247	a	2		
03/02/2000	18:00	-13,188	39	c	2		
03/02/2000	18:00	-25	23,449	a	2		
03/02/2000	18:00	-97	23,635	a	2		
03/02/2000	18:00	-139,263	35	c	2		
04/02/2000	0:00	12	22,202	a	2		
04/02/2000	0:00	-22,43	23,57	a	2		
04/02/2000	0:00	-94,791	23,209	a	2		
04/02/2000	0:00	-122	36,586	c	2		
04/02/2000	6:00	16,156	23,156	a	2		
04/02/2000	6:00	-23,274	22,726	a	2		
04/02/2000	6:00	-91,598	22,402	a	2		
04/02/2000	6:00	-116,321	37,679	c	2		
04/02/2000	12:00	-20,228	21,772	a	2		
04/02/2000	12:00	-89,804	32,804	c	2		
04/02/2000	12:00	-103	34,826	a	2		
04/02/2000	18:00	-9,292	31	c	2		
04/02/2000	18:00	-19,323	20,677	a	2		
04/02/2000	18:00	-68,104	32,896	a	2		
04/02/2000	18:00	-76	34,716	c	2		
04/02/2000	18:00	-96,812	32,812	a	2		
05/02/2000	0:00	-9,141	26	c	2		
05/02/2000	0:00	-18,721	22,279	a	2		
05/02/2000	6:00	-17,992	21,008	c	2		
05/02/2000	6:00	-34,76	30,24	a	2		
05/02/2000	12:00	110,275	26,725	a	2		
05/02/2000	12:00	-15	20,651	a	2		
05/02/2000	12:00	-30	26,215	a	2		
05/02/2000	12:00	-143	29,455	c	2		
05/02/2000	18:00	-12	20,971	a	2		
05/02/2000	18:00	-27,856	24,144	a	2		
06/02/2000	0:00	-26	23,079	a	2		
06/02/2000	0:00	-95	32,877	a	2		
06/02/2000	0:00	-126	26,507	a	2		
06/02/2000	6:00	-26	22,094	a	2		
06/02/2000	6:00	-89	30,044	a	2		
06/02/2000	6:00	-136,851	24	c	2		
06/02/2000	12:00	92,399	27,399	c	2		
06/02/2000	12:00	-25	20,618	a	2		
06/02/2000	12:00	-84	28,246	a	2		
06/02/2000	12:00	-133	20,551	c	2		
06/02/2000	18:00	141	30,599	a	2		
06/02/2000	18:00	128	29,663	c	2		
06/02/2000	18:00	117,171	28,829	a	2		
06/02/2000	18:00	-23	20,631	a	2		
06/02/2000	18:00	-78,552	27,552	a	2		
06/02/2000	18:00	-132	18,059	c	2		
07/02/2000	0:00	145,601	31,399	c	2		
07/02/2000	0:00	-21	20,434	a	2		
